model,accuracy,balanced_accuracy,precision,recall,f1,average_precision,roc_auc,tn,fp,fn,tp,false_positive_windows_per_hour,false_alarm_events_per_hour
logistic_regression,0.9546703296703297,0.9150995575221239,0.11475409836065574,0.875,0.2028985507246377,0.7432601892350663,0.9794419350213044,10362,486,9,63,32.256637168141594,19.911504424778762
random_forest,0.9754578754578754,0.9048672566371682,0.189873417721519,0.8333333333333334,0.30927835051546393,0.7357937462889325,0.9766943727466404,10592,256,12,60,16.991150442477878,11.283185840707965
