P,E_star,I_star,eig1_real,eig1_imag,eig2_real,eig2_imag,max_real_eig,stable
0.0,0.0047959692767895815,0.01128005551836494,-0.9196599363414684,0.0,-0.535997708187443,0.0,-0.535997708187443,True
0.04,0.005109850879153998,0.011330410303003998,-0.9141612349842535,0.0,-0.5372517387871657,0.0,-0.5372517387871657,True
0.08,0.005445539417202235,0.011384498625312326,-0.9082365717753602,0.0,-0.53864083456861,0.0,-0.53864083456861,True
0.12,0.005804730352768494,0.011442644030276457,-0.9018434893256083,0.0,-0.5401853901387561,0.0,-0.5401853901387561,True
0.16,0.006189277544566382,0.011505205037168321,-0.8949331714757884,0.0,-0.5419101741925091,0.0,-0.5419101741925091,True
0.2,0.006601212072121018,0.011572579977779678,-0.8874489230265834,0.0,-0.5438456243805606,0.0,-0.5438456243805606,True
0.24,0.007042763927017892,0.0116452126747067,-0.8793241021523005,0.0,-0.5460296566336537,0.0,-0.5460296566336537,True
0.28,0.0075163871148794135,0.011723599136870782,-0.8704792303498265,0.0,-0.548510258102022,0.0,-0.548510258102022,True
0.32,0.008024788835503168,0.01180829549379686,-0.8608178203837861,0.0,-0.5513493159399806,0.0,-0.5513493159399806,True
0.36,0.008570963565919224,0.011899927447403032,-0.8502201172996391,0.0,-0.5546284778933398,0.0,-0.5546284778933398,True
0.4,0.009158233072108928,0.011999201594539731,-0.8385332594770979,0.0,-0.5584585266399337,0.0,-0.5584585266399337,True
0.44,0.009790293633811401,0.012106919071247736,-0.8255548882453958,0.0,-0.5629952255944352,0.0,-0.5629952255944352,True
0.48,0.01047127210242479,0.01222399209904716,-0.811003740574163,0.0,-0.5684680844362022,0.0,-0.5684680844362022,True
0.52,0.011205792850996217,0.012351464186328799,-0.7944614052985888,0.0,-0.5752378421881034,0.0,-0.5752378421881034,True
0.56,0.011999058254652695,0.012490534970934794,-0.7752396624405076,0.0,-0.5839282207077592,0.0,-0.5839282207077592,True
0.6,0.01285694611162422,0.012642591007721376,-0.752004798856132,0.0,-0.5958005200527426,0.0,-0.5958005200527426,True
0.64,0.013786128453743112,0.012809244241583301,-0.7211677923808841,0.0,-0.6143621179518923,0.0,-0.6143621179518923,True
