model,accuracy,balanced_accuracy,precision,recall,f1,average_precision,roc_auc,tn,fp,fn,tp,false_positive_windows_per_hour,false_alarm_events_per_hour
logistic_regression,0.9546703296703296,0.915099557522124,0.1147540983606557,0.875,0.2028985507246377,0.7432601892350663,0.9794419350213044,10362,486,9,63,32.256637168141594,19.91150442477876
random_forest,0.9754578754578754,0.9048672566371682,0.189873417721519,0.8333333333333334,0.3092783505154639,0.7357937462889325,0.9766943727466404,10592,256,12,60,16.991150442477878,11.283185840707963
rfecv_logistic_regression,0.945054945054945,0.9309550147492625,0.1,0.9166666666666666,0.18032786885245902,0.7297790300518672,0.9827272308259587,10254,594,6,66,39.424778761061944,22.168141592920353
