CI,CI_rank,CI_topk,alpha
0.29523809523809524,0.5688257267246686,0.29523809523809524,0.0
0.30891747681242393,0.5688257267246686,0.29523809523809524,0.05
0.3225968583867526,0.5688257267246686,0.29523809523809524,0.1
0.33627623996108125,0.5688257267246686,0.29523809523809524,0.15000000000000002
0.34995562153540993,0.5688257267246686,0.29523809523809524,0.2
0.36363500310973856,0.5688257267246686,0.29523809523809524,0.25
0.3773143846840673,0.5688257267246686,0.29523809523809524,0.30000000000000004
0.3909937662583959,0.5688257267246686,0.29523809523809524,0.35000000000000003
0.40467314783272457,0.5688257267246686,0.29523809523809524,0.4
0.41835252940705325,0.5688257267246686,0.29523809523809524,0.45
0.43203191098138194,0.5688257267246686,0.29523809523809524,0.5
0.44571129255571057,0.5688257267246686,0.29523809523809524,0.55
0.4593906741300393,0.5688257267246686,0.29523809523809524,0.6000000000000001
0.47307005570436794,0.5688257267246686,0.29523809523809524,0.65
0.4867494372786966,0.5688257267246686,0.29523809523809524,0.7000000000000001
0.5004288188530253,0.5688257267246686,0.29523809523809524,0.75
0.514108200427354,0.5688257267246686,0.29523809523809524,0.8
0.5277875820016826,0.5688257267246686,0.29523809523809524,0.8500000000000001
0.5414669635760112,0.5688257267246686,0.29523809523809524,0.9
0.5551463451503399,0.5688257267246686,0.29523809523809524,0.9500000000000001
0.5688257267246686,0.5688257267246686,0.29523809523809524,1.0
